GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.model.user,SecurityQuestion.SecurityQuestionBuilder,0,46,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.model.user,UserSettings,142,269,55,15,0,12,33,29,0,27
Rev-PasswordManager,com.revature.passwordmanager.model.user,User.UserBuilder,0,206,1,5,0,1,1,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.model.user,RecoveryCode.RecoveryCodeBuilder,0,56,0,0,0,1,0,8,0,8
Rev-PasswordManager,com.revature.passwordmanager.model.user,UserSession,183,329,71,19,0,16,43,31,0,29
Rev-PasswordManager,com.revature.passwordmanager.model.user,RecoveryCode,74,172,29,13,0,9,20,18,1,16
Rev-PasswordManager,com.revature.passwordmanager.model.user,UserSettings.UserSettingsBuilder,0,124,0,8,0,1,0,15,0,11
Rev-PasswordManager,com.revature.passwordmanager.model.user,SecurityQuestion,66,149,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.model.user,UserSession.UserSessionBuilder,0,112,0,0,0,1,0,14,0,14
Rev-PasswordManager,com.revature.passwordmanager.model.user,User,300,496,111,23,0,23,65,48,0,46
Rev-PasswordManager,com.revature.passwordmanager.service.dashboard,SecurityMetricsCalculator,185,876,33,78,42,220,26,53,3,17
Rev-PasswordManager,com.revature.passwordmanager.service.dashboard,PasswordStrengthDashboardService,28,235,1,7,4,58,4,12,3,9
Rev-PasswordManager,com.revature.passwordmanager,PasswordManagerApplication,5,3,0,0,2,1,1,1,1,1
Rev-PasswordManager,com.revature.passwordmanager.model.vault,VaultEntry.VaultEntryBuilder,0,180,0,6,0,1,0,21,0,18
Rev-PasswordManager,com.revature.passwordmanager.model.vault,VaultSnapshot,66,150,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.model.vault,Folder.FolderBuilder,0,87,1,1,0,1,1,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.model.vault,VaultSnapshot.VaultSnapshotBuilder,0,47,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.model.vault,Folder,123,232,48,14,0,11,29,24,0,22
Rev-PasswordManager,com.revature.passwordmanager.model.vault,VaultEntry,275,427,104,22,0,19,61,42,0,40
Rev-PasswordManager,com.revature.passwordmanager.model.vault,Category.CategoryBuilder,0,75,0,2,0,1,0,10,0,9
Rev-PasswordManager,com.revature.passwordmanager.model.vault,Category,104,204,41,13,0,10,25,22,0,20
Rev-PasswordManager,com.revature.passwordmanager.service.auth,SecurityQuestionService,6,131,8,12,3,26,8,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.service.auth,TwoFactorService,37,265,0,12,5,58,5,17,5,11
Rev-PasswordManager,com.revature.passwordmanager.service.auth,SessionService,58,288,1,7,6,71,7,16,6,13
Rev-PasswordManager,com.revature.passwordmanager.service.auth,OtpService,5,105,2,8,1,24,2,8,0,5
Rev-PasswordManager,com.revature.passwordmanager.service.auth,RegistrationService,10,349,2,16,0,71,4,15,2,8
Rev-PasswordManager,com.revature.passwordmanager.service.auth,AuthenticationService,73,765,14,42,17,147,17,27,4,12
Rev-PasswordManager,com.revature.passwordmanager.service.auth,AccountRecoveryService,72,61,2,2,10,11,9,3,8,2
Rev-PasswordManager,com.revature.passwordmanager.model.notification,Notification.NotificationType,0,39,0,0,0,7,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.model.notification,Notification.NotificationBuilder,0,85,0,2,0,1,0,11,0,10
Rev-PasswordManager,com.revature.passwordmanager.model.notification,Notification,108,230,43,15,0,11,27,24,0,22
Rev-PasswordManager,com.revature.passwordmanager.model.backup,BackupExport,111,210,40,12,0,11,25,23,1,21
Rev-PasswordManager,com.revature.passwordmanager.model.backup,BackupExport.ExportFormat,0,21,0,0,0,2,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.model.backup,BackupExport.BackupExportBuilder,0,85,0,2,0,1,0,11,0,10
Rev-PasswordManager,com.revature.passwordmanager.model.analytics,TimelinePeriod,19,57,1,5,2,16,3,9,2,7
Rev-PasswordManager,com.revature.passwordmanager.model.analytics,TimelineEvent.TimelineEventBuilder,0,83,0,0,0,1,0,11,0,11
